"ID","Code","SetNumber","CardNumber","CharacterName","SeriesName","Rarity","ImageUrl","HasImage"
"NS-02-M10-CR-012","NS02M10012","NS-02-M10","012","Nao Tomori","Charlotte","CR","https://lh3.googleusercontent.com/d/1MfyECHf3YcrUtrkP44tcNR7BkboX4fNo","YES"
"NS-02-M10-CR-011","NS02M10011","NS-02-M10","011","Kisara","Engage Kiss","CR","https://lh3.googleusercontent.com/d/1aTn3EtvDabNJ-2kTzAs7XsMNZvNILUwG","YES"
"NS-02-M10-CR-006","NS02M10006","NS-02-M10","006","Gabriel White Tenma","Gabriel DropOut","CR","https://lh3.googleusercontent.com/d/17NoNTcVuthLcWThX-smr4Ok-wcFGChwl","YES"
"NS-02-M10-CR-017","NS02M10017","NS-02-M10","017","Raiden Shogun","Genshin Impact","CR","https://lh3.googleusercontent.com/d/19QNxEO1267eDsA8VHVp1Foa8z9cXXUj9","YES"
"NS-02-M10-CR-018","NS02M10018","NS-02-M10","018","Kirara","Genshin Impact","CR","https://lh3.googleusercontent.com/d/1KI0f33RIYWUMKcoNXgW-wKDDFl76S1WD","YES"
"NS-02-M10-CR-001","NS02M10001","NS-02-M10","001","Aqua","God's Blessing on this Wonderful World!","CR","https://lh3.googleusercontent.com/d/1GoYsvKS3YU2AnBE0AHWtVNCiUVZ2woOE","YES"
"NS-02-M10-CR-002","NS02M10002","NS-02-M10","002","Megumin","God's Blessing on this Wonderful World!","CR","https://lh3.googleusercontent.com/d/1Owu9y7sq1WpXhcbiWDFlEfU1PvMf1MEI","YES"
"NS-02-M10-CR-014","NS02M10014","NS-02-M10","014","Utaha Kasumigaoka","How to Raise a Boring Girlfriend","CR","https://lh3.googleusercontent.com/d/11edGxPSvMABMyOV0NCpcbfKJF0bxHzPq","YES"
"NS-02-M10-CR-015","NS02M10015","NS-02-M10","015","Megumi Kato","How to Raise a Boring Girlfriend","CR","https://lh3.googleusercontent.com/d/1a-bISuEDwNcbaFA8tNpTEYh_khWgfcwN","YES"
"NS-02-M10-CR-010","NS02M10010","NS-02-M10","010","Chika Fujiwara","Kaguya-sama: Love is War","CR","https://lh3.googleusercontent.com/d/10Ktn92RkSTD3O6d6BidNrVhleJ_d3Wpo","YES"
"NS-02-M10-CR-016","NS02M10016","NS-02-M10","016","Kanna Kamui","Miss Kobayashi's Dragon Maid","CR","https://lh3.googleusercontent.com/d/1UrRhVreJjcsxWSB2f0ybZJGakpcdcLFX","YES"
"NS-02-M10-CR-003","NS02M10003","NS-02-M10","003","Chiyo Sakura","Monthly Girl's Nozaki-kun","CR","https://lh3.googleusercontent.com/d/1vwURJDH8CJ3ARGBwCCl3YyYZ_YSOZg4J","YES"
"NS-02-M10-CR-004","NS02M10004","NS-02-M10","004","Marin Kitagawa","My Dress-Up Darling","CR","https://lh3.googleusercontent.com/d/1Tl8CZQLTDSiynApjx9KZjEITxazmZQmF","YES"
"NS-02-M10-CR-008","NS02M10008","NS-02-M10","008","Miyako Shikimori","Shikimori's Not Just a Cutie","CR","https://lh3.googleusercontent.com/d/1smYvREJ4ZcX1PdxcgO1f4MUXiXobH_mS","YES"
"NS-02-M10-CR-013","NS02M10013","NS-02-M10","013","Sora Kasugano","Sky of Connection","CR","https://lh3.googleusercontent.com/d/16dPdO6Az-bFCeZkzcjUHlb_8jaQyXS8w","YES"
"NS-02-M10-CR-009","NS02M10009","NS-02-M10","009","Siesta","The Detective is Already Dead","CR","https://lh3.googleusercontent.com/d/1DGffST9l6-QftDojdLyb6y87N116VSw-","YES"
"NS-02-M10-CR-007","NS02M10007","NS-02-M10","007","Elaina","The Journey of Elaina","CR","https://lh3.googleusercontent.com/d/15UWt0PEJb5USXo-fshsC2vJiyHSm2W1o","YES"
"NS-02-M10-CR-005","NS02M10005","NS-02-M10","005","Kaori Miyazono","Your Lie in April","CR","https://lh3.googleusercontent.com/d/1wJs-ohtjNuQea65IS1lGwGZi6PteA2mZ","YES"
"NS-02-M10-PR-010","NS02M10010","NS-02-M10","010","Hoshino Takanashi","Blue Archive","PR","https://lh3.googleusercontent.com/d/1reGmrM69b6oe1kDKlpgIv4FL6zpBetSe","YES"
"NS-02-M10-PR-011","NS02M10011","NS-02-M10","011","Hitori Gotou","Bocchi the Rock!","PR","https://lh3.googleusercontent.com/d/1yBOUfy3CRXQa9jXe7_6ac9mSpEo8qaF3","YES"
"NS-02-M10-PR-012","NS02M10012","NS-02-M10","012","Ikuyo Kita","Bocchi the Rock!","PR","https://lh3.googleusercontent.com/d/1g4ZbBheuz04oiLJOGrRC1Y6vDkXxQcOW","YES"
"NS-02-M10-PR-002","NS02M10002","NS-02-M10","002","Hu Tao","Genshin Impact","PR","https://lh3.googleusercontent.com/d/119XUR63BYw68QhAZMFhqB07xP1luRj0-","YES"
"NS-02-M10-PR-003","NS02M10003","NS-02-M10","003","Lumine","Genshin Impact","PR","https://lh3.googleusercontent.com/d/1v8uBhqm-0ejDoCMOWamJm3WG_TRrD29K","YES"
"NS-02-M10-PR-005","NS02M10005","NS-02-M10","005","Elysia","Honkai Impact","PR","https://lh3.googleusercontent.com/d/1PIgNr7I5uYYyUvfoXtXUun_bP6emA4MQ","YES"
"NS-02-M10-PR-004","NS02M10004","NS-02-M10","004","Kaguya Shinomiya","Kaguya-sama: Love is War","PR","https://lh3.googleusercontent.com/d/1T5qfgfbzpJGeVVoebUtWUz3pfLwB1O4D","YES"
